type,id,code,description,link1,link2,link3,link4,link5,link6,link7,link8,link9,link10,link11,link12,link13,link14,link15,link16,link17,link18,link19,link20,link21,link22,link23,origen
OD,od-ce2,CE2,"Evalúa las fortalezas y debilidades propias, haciendo uso de estrategias de autoconocimiento y autoeficacia, y comprende los elementos fundamentales de la economía y las finanzas, aplicando conocimientos económicos y financieros a actividades y situaciones concretas, utilizando destrezas que favorezcan el trabajo colaborativo y en equipo, para reunir y optimizar los recursos necesarios que lleven a la acción una experiencia emprendedora que genere valor.",kc-ce,,,,,,,,,,,,,,,,,,,,,,,
OD,od-ce3,CE3,"Desarrolla el proceso de creación de ideas y soluciones valiosas y toma decisiones, de manera razonada, utilizando estrategias ágiles de planificación y gestión, y reflexiona sobre el proceso realizado y el resultado obtenido, para llevar a término el proceso de creación de prototipos innovadores y de valor, considerando la experiencia como una oportunidad para aprender.",kc-ce,,,,,,,,,,,,,,,,,,,,,,,
OD,od-ccec1,CCEC1,"Conoce, aprecia críticamente y respeta el patrimonio cultural y artístico, implicándose en su conservación y valorando el enriquecimiento inherente a la diversidad cultural y artística.",kc-ccec,,,,,,,,,,,,,,,,,,,,,,,
OD,od-ccec2,CCEC2,"Disfruta, reconoce y analiza con autonomía las especificidades e intencionalidades de las manifestaciones artísticas y culturales más destacadas del patrimonio, distinguiendo los medios y soportes, así como los lenguajes y elementos técnicos que las caracterizan.",kc-ccec,,,,,,,,,,,,,,,,,,,,,,,
OD,od-ccec3,CCEC3,"Expresa ideas, opiniones, sentimientos y emociones por medio de producciones culturales y artísticas, integrando su propio cuerpo y desarrollando la autoestima, la creatividad y el sentido del lugar que ocupa en la sociedad, con una actitud empática, abierta y colaborativa.",kc-ccec,,,,,,,,,,,,,,,,,,,,,,,
OD,od-ccec4,CCEC4,"Conoce, selecciona y utiliza con creatividad diversos medios y soportes, así como técnicas plásticas, visuales, audiovisuales, sonoras o corporales, para la creación de productos artísticos y culturales, tanto de forma individual como colaborativa, identificando oportunidades de desarrollo personal, social y laboral, así como de emprendimiento.",kc-ccec,,,,,,,,,,,,,,,,,,,,,,,
SC,sc-act4d-1,CEs 1,"Investigar fenómenos del entorno mediante la observación, la experimentación, el razonamiento científico y el uso integrado de las matemáticas, para comprender la realidad y dar respuesta a preguntas y problemas.",od-ccl1,od-stem1,od-stem2,od-cd1,od-cd2,od-cd5,od-ce3,od-stem3,od-cd3,od-cc4,od-ce2,od-ccec1,od-stem4,od-cpsaa3,od-cc1,,,,,,,,,mat4a CEs 3; mat4a CEs 6; bg4 CEs 3; fq4 CEs 2
SC,sc-act4d-2,CEs 2,"Resolver problemas científicos y matemáticos utilizando estrategias, procedimientos, modelos y herramientas adecuadas, valorando diferentes soluciones y justificando los resultados obtenidos.",od-stem1,od-stem2,od-stem3,od-stem4,od-cd2,od-cpsaa5,od-ce3,od-ccec4,od-cpsaa4,od-cc3,od-cd3,od-cd5,od-ccec1,od-ccl2,od-ce1,,,,,,,,,mat4a CEs 1; mat4a CEs 2; mat4a CEs 4; mat4a CEs 5; bg4 CEs 4
SC,sc-act4d-3,CEs 3,"Analizar, interpretar y comunicar información científica y matemática utilizando distintos lenguajes, representaciones, fuentes de información y herramientas digitales, con actitud crítica y responsable.",od-stem3,od-cd1,od-cd2,od-cd5,od-ce3,od-ccec4,od-ccl1,od-ccl3,od-cp1,od-stem2,od-stem4,od-cd3,od-ccec3,od-ccl2,od-ccl5,od-stem1,od-cd4,od-cpsaa4,od-stem5,od-cpsaa2,od-cc1,od-ccec2,od-cpsaa3,mat4a CEs 7; mat4a CEs 8; bg4 CEs 1; bg4 CEs 2; fq4 CEs 3; fq4 CEs 4
SC,sc-act4d-4,CEs 4,"Comprender el funcionamiento de los seres vivos, de la Tierra y de los sistemas físicos y químicos, explicando sus interacciones y los cambios que se producen en ellos mediante modelos, leyes y teorías científicas.",od-ccl1,od-ccl2,od-ccl5,od-stem2,od-stem3,od-stem4,od-cd2,od-cd3,od-ce3,od-ccec4,od-stem1,od-stem5,od-cd1,od-cd4,od-cpsaa2,od-cc4,od-ce1,od-ccec1,od-cpsaa4,,,,,bg4 CEs 1; bg4 CEs 6; fq4 CEs 1
SC,sc-act4d-5,CEs 5,"Adoptar hábitos saludables, seguros y sostenibles, tomando decisiones responsables fundamentadas en el conocimiento científico y en el respeto por el medio ambiente y por la salud propia y colectiva.",od-ccl2,od-stem2,od-stem5,od-cd4,od-cpsaa1,od-cpsaa2,od-cc4,od-cc3,od-ce1,od-ccec1,od-stem1,od-stem4,od-cd1,od-cd3,od-cc1,od-ccec2,od-ccec4,od-cpsaa4,,,,,,bg4 CEs 5; bg4 CEs 6; fq4 CEs 3; fq4 CEs 6
SC,sc-act4d-6,CEs 6,"Desarrollar proyectos científicos de forma cooperativa, gestionando las emociones propias y el trabajo en equipo con iniciativa, perseverancia y responsabilidad, y reconocer la ciencia como una construcción colectiva.",od-stem5,od-cpsaa1,od-cpsaa4,od-cpsaa5,od-ce2,od-ce3,od-ccl5,od-cp3,od-stem3,od-cpsaa3,od-cc2,od-cc3,od-ccl1,od-stem2,od-stem4,od-cd1,od-cd2,od-cc1,od-cd3,od-cd4,od-cc4,od-ccec1,,mat4a CEs 9; mat4a CEs 10; bg4 CEs 3; fq4 CEs 5; fq4 CEs 6
EC,ec-act4d-1.1,1.1,"Hacerse preguntas sobre lo que ocurre en el entorno y plantear hipótesis que se puedan comprobar, estudiando los patrones y las relaciones que aparecen.",,,,,,,,,,,,,,,,,,,,,,,,mat4a 3.1; mat4a 3.2; bg4 3.1; fq4 2.1
EC,ec-act4d-1.2,1.2,"Preparar un experimento y la toma de datos evitando que salgan sesgados, y anticipar qué resultado cabe esperar.",,,,,,,,,,,,,,,,,,,,,,,,bg4 3.2; fq4 2.2
EC,ec-act4d-1.3,1.3,"Hacer el experimento y tomar los datos con precisión, anotándolos de forma ordenada y usando bien los instrumentos y las herramientas digitales.",,,,,,,,,,,,,,,,,,,,,,,,bg4 3.3; mat4a 3.3
EC,ec-act4d-1.4,1.4,"Analizar qué dicen los resultados, apoyándose en lo estudiado y en los cálculos necesarios, y sacar conclusiones razonadas.",,,,,,,,,,,,,,,,,,,,,,,,bg4 3.4; fq4 2.3
EC,ec-act4d-1.5,1.5,"Proponer situaciones de la vida diaria y de otras asignaturas que se puedan estudiar con la ciencia y las matemáticas, y valorar para qué sirven.",,,,,,,,,,,,,,,,,,,,,,,,mat4a 6.1; mat4a 6.2; mat4a 6.3
EC,ec-act4d-2.1,2.1,"Replantear un problema con palabras y con un dibujo o una gráfica, entendiendo los datos y lo que se pregunta.",,,,,,,,,,,,,,,,,,,,,,,,mat4a 1.1
EC,ec-act4d-2.2,2.2,Elegir entre varias estrategias la más eficaz y encontrar todas las soluciones posibles.,,,,,,,,,,,,,,,,,,,,,,,,mat4a 1.2; mat4a 1.3
EC,ec-act4d-2.3,2.3,"Comprobar si los resultados están bien, elegir la mejor solución y revisar el procedimiento si aparecen datos nuevos, pensando en sus consecuencias (igualdad, medio ambiente, consumo).",,,,,,,,,,,,,,,,,,,,,,,,mat4a 2.1; mat4a 2.2; bg4 4.2
EC,ec-act4d-2.4,2.4,"Dividir un problema en partes más sencillas, investigar el patrón que se repite y resolverlo creando o modificando una secuencia de pasos, también con el ordenador.",,,,,,,,,,,,,,,,,,,,,,,,mat4a 4.1; mat4a 4.2; bg4 4.1
EC,ec-act4d-2.5,2.5,"Deducir y aplicar las conexiones entre lo que se aprende en matemáticas y en ciencias, usándolas en situaciones nuevas.",,,,,,,,,,,,,,,,,,,,,,,,mat4a 5.1; mat4a 5.2
EC,ec-act4d-3.1,3.1,"Usar fuentes fiables y seguras para seleccionar, organizar y comunicar la información necesaria para resolver un problema.",,,,,,,,,,,,,,,,,,,,,,,,fq4 3.1
EC,ec-act4d-3.2,3.2,"Buscar y analizar información de distintas fuentes, citarlas respetando la propiedad intelectual y comprobar si es verdad frente a bulos, pseudociencias y teorías conspiratorias.",,,,,,,,,,,,,,,,,,,,,,,,bg4 2.1; bg4 2.2; fq4 4.2
EC,ec-act4d-3.3,3.3,"Representar la información importante de un problema eligiendo entre distintas formas: dibujo, gráfica, tabla o expresión matemática.",,,,,,,,,,,,,,,,,,,,,,,,mat4a 7.1; mat4a 7.2
EC,ec-act4d-3.4,3.4,"Explicar de palabra y por escrito las ideas, conclusiones y opiniones propias con argumentos, usando bien el vocabulario científico, las unidades y los nombres de los compuestos.",,,,,,,,,,,,,,,,,,,,,,,,mat4a 8.1; mat4a 8.2; bg4 1.2; fq4 3.2
