type,id,code,description,link1,link2,link3,link4,link5,link6,link7
KC,kc-cc,CC,Competencia ciudadana,,,,,,,
KC,kc-ccec,CCEC,Competencia en Conciencia y Expresión Culturales,,,,,,,
KC,kc-ccl,CCL,Competencia en comunicación lingüística,,,,,,,
KC,kc-cd,CD,Competencia digital,,,,,,,
KC,kc-ce,CE,Competencia Emprendedora,,,,,,,
KC,kc-cp,CP,Competencia Plurilingüe,,,,,,,
KC,kc-stem,STEM,"Competencia Matemática y Competencia en Ciencia, Tecnología e Ingeniería",,,,,,,
SB,sb-lat4-a4,A.4,"Importancia de la civilización latina en la configuración, reconocimiento y análisis crítico de nuestra identidad como sociedad.",,,,,,,
SB,sb-lat4-a5,A.5,"Estrategias para comprender, comentar e interpretar textos latinos a partir de los conocimientos adquiridos y de la experiencia propia.",,,,,,,
SB,sb-lat4-a6,A.6,"Léxico latino: evolución de los conceptos fundamentales de la civilización latina hasta la actualidad (civis, populus, sacer, homo, etc.)",,,,,,,
SB,sb-lat4-a7,A.7,Importancia de los textos clásicos latinos como testimonio de aquellos aspectos constitutivos de nuestra condición humana.,,,,,,,
SB,sb-lat4-a8,A.8,El papel del humanismo y su presencia en la sociedad actual.,,,,,,,
SB,sb-lat4-b1,B.1,"El abecedario y la pronunciación del latín, así como su permanencia e influencia en las lenguas del repertorio lingüístico individual del alumnado.",,,,,,,
SB,sb-lat4-b2,B.2,Explicación de los cambios fonéticos más frecuentes desde el latín culto y el latín vulgar.,,,,,,,
SB,sb-lat4-b3,B.3,"Identificación de palabras con lexemas, sufijos y prefijos de origen latino en textos escritos en las lenguas de enseñanza.",,,,,,,
SB,sb-lat4-b4,B.4,Procedimientos de composición y derivación latinos en la elaboración de familias de palabras.,,,,,,,
SB,sb-lat4-b5,B.5,Iniciación al significado etimológico de las palabras.,,,,,,,
SB,sb-lat4-b6,B.6,Estrategias básicas para inferir significados en léxico especializado y de nueva aparición a partir de la identificación de formantes latinos.,,,,,,,
SB,sb-lat4-b7,B.7,Latinismos y locuciones latinas más frecuentes.,,,,,,,
