type,id,code,description,link1,link2,link3,link4,link5
OD,od-ccl3,CCL3,"Localiza, selecciona y contrasta de manera autónoma información procedente de diferentes fuentes evaluando su fiabilidad y pertinencia en función de los objetivos de lectura y evitando los riesgos de manipulación y desinformación, y la integra y transforma en conocimiento para comunicarla de manera clara y rigurosa adoptando un punto de vista creativo y crítico a la par que respetuoso con la propiedad intelectual.",kc-ccl,,,,
OD,od-cd1,CD1,"Realiza búsquedas avanzadas comprendiendo cómo funcionan los motores de búsqueda en internet aplicando criterios de validez, calidad, actualidad y fiabilidad, seleccionando los resultados de manera crítica y organizando el almacenamiento de la información de manera adecuada y segura para referenciarla y reutilizarla posteriormente.",kc-cd,,,,
OD,od-cpsaa3.1,CPSAA3.1,"Muestra sensibilidad hacia las emociones y experiencias de otras personas, siendo consciente de la influencia que ejerce el grupo en las personas, para consolidar una personalidad empática e independiente y desarrollar su inteligencia.",kc-cpsaa,,,,
OD,od-cc1,CC1,"Analiza hechos, normas e ideas relativas a la dimensión social, histórica, cívica y moral de su propia identidad, para contribuir a la consolidación de su madurez personal y social, adquirir una conciencia ciudadana y responsable, desarrollar la autonomía y el espíritu crítico, y establecer una interacción pacífica y respetuosa con otras personas y con el entorno.",kc-cc,,,,
OD,od-cd2,CD2,"Crea, integra y reelabora contenidos digitales de forma individual o colectiva, aplicando medidas de seguridad y respetando, en todo momento, los derechos de autoría digital para ampliar sus recursos y generar nuevo conocimiento.",kc-cd,,,,
OD,od-cc4,CC4,"Analiza las relaciones de interdependencia y ecodependencia entre nuestras formas de vida y el entorno, realizando un análisis crítico de la huella ecológica de las acciones humanas, y demostrando un compromiso ético y ecosocialmente responsable con actividades y hábitos que conduzcan al logro de los Objetivos de Desarrollo Sostenible y la lucha contra el cambio climático.",kc-cc,,,,
OD,od-ce1,CE1,"Evalúa necesidades y oportunidades y afronta retos, con sentido crítico y ético, evaluando su sostenibilidad y comprobando, a partir de conocimientos técnicos específicos, el impacto que puedan suponer en el entorno, para presentar y ejecutar ideas y soluciones innovadoras dirigidas a distintos contextos, tanto locales como globales, en el ámbito personal, social y académico con proyección profesional emprendedora.",kc-ce,,,,
SC,sc-lat2-1,CEs 1,"Traducir y comprender textos latinos de dificultad creciente y justificar la traducción, identificando y analizando los aspectos básicos de la lengua latina y sus unidades lingüísticas y reflexionando sobre ellas mediante la comparación con las lenguas de enseñanza y con otras lenguas del repertorio individual del alumnado, para realizar una lectura comprensiva, directa y eficaz y una interpretación razonada de su contenido.",od-ccl1,od-ccl2,od-cp2,od-stem1,od-stem2
SC,sc-lat2-2,CEs 2,"Distinguir los formantes latinos y explicar los cambios que hayan tenido lugar a lo largo del tiempo, comparándolos con los de las lenguas de enseñanza y otras lenguas del repertorio individual del alumnado, para deducir el significado etimológico del léxico conocido y los significados de léxico nuevo o especializado.",od-cp2,od-cp3,od-stem1,od-cpsaa5,
SC,sc-lat2-3,CEs 3,"Leer, interpretar y comentar textos latinos de diferentes géneros y épocas, asumiendo el proceso creativo como complejo e inseparable del contexto histórico, social y político y de sus influencias artísticas, para identificar su genealogía y su aportación a la literatura europea.",od-ccl4,od-ccec1,od-ccec2,,
SC,sc-lat2-4,CEs 4,"Analizar las características de la civilización latina en el ámbito personal, religioso y sociopolítico, adquiriendo conocimientos sobre el mundo romano y comparando críticamente el presente y el pasado, para valorar las aportaciones del mundo clásico latino a nuestro entorno como base de una ciudadanía democrática y comprometida.",od-ccl3,od-cp3,od-cd1,od-cpsaa3.1,od-cc1
SC,sc-lat2-5,CEs 5,"Valorar críticamente el patrimonio histórico, arqueológico, artístico y cultural heredado de la civilización latina, interesándose por su sostenibilidad y reconociéndolo como producto de la creación humana y como testimonio de la historia, para explicar el legado material e inmaterial latino como transmisor de conocimiento y fuente de inspiración de creaciones modernas y contemporáneas.",od-ccl3,od-cd2,od-cc1,od-cc4,od-ce1
EC,ec-lat2-1.1,1.1,"Realizar traducciones directas o inversas de textos o fragmentos de dificultad adecuada y progresiva, con corrección ortográfica y expresiva, identificando y analizando unidades lingüísticas regulares de la lengua, y apreciando variantes y coincidencias con otras lenguas conocidas.",,,,,
EC,ec-lat2-1.2,1.2,"Seleccionar el significado apropiado de palabras polisémicas y justificar la decisión, teniendo en cuenta la información cotextual o contextual y utilizando herramientas de apoyo al proceso de traducción en distintos soportes, tales como listas de vocabulario, glosarios, diccionarios, mapas o atlas, correctores ortográficos, gramáticas y libros de estilo.",,,,,
EC,ec-lat2-1.3,1.3,"Revisar y subsanar las propias traducciones y las de los compañeros y las compañeras, realizando propuestas de mejora y argumentando los cambios con terminología especializada a partir de la reflexión lingüística.",,,,,
EC,ec-lat2-1.4,1.4,"Realizar la lectura directa de textos latinos de dificultad adecuada identificando las unidades lingüísticas más frecuentes de la lengua latina, comparándolas con las de las lenguas del repertorio lingüístico propio y asimilando los aspectos morfológicos, sintácticos y léxicos del latín.",,,,,
EC,ec-lat2-1.5,1.5,"Registrar los progresos y dificultades de aprendizaje de la lengua latina, seleccionando las estrategias más adecuadas y eficaces para superar esas dificultades y consolidar su aprendizaje, realizando actividades de planificación del propio aprendizaje, autoevaluación y coevaluación, como las propuestas en el Portfolio Europeo de las Lenguas (PEL) o en un diario de aprendizaje, haciéndolos explícitos y compartiéndolos.",,,,,
EC,ec-lat2-2.1,2.1,"Deducir el significado etimológico de un término de uso común e inferir el significado de términos de nueva aparición o procedentes de léxico especializado aplicando estrategias de reconocimiento de formantes latinos atendiendo a los cambios fonéticos, morfológicos o semánticos que hayan tenido lugar.",,,,,
EC,ec-lat2-2.2,2.2,"Explicar cambios fonéticos, morfológicos o semánticos de complejidad creciente que se han producido tanto desde el latín culto como desde el latín vulgar hasta las lenguas de enseñanza, sirviéndose cuando sea posible de la comparación con otras lenguas de su repertorio.",,,,,
EC,ec-lat2-2.3,2.3,"Explicar la relación del latín con las lenguas modernas, analizando los elementos lingüísticos comunes de origen latino y utilizando con iniciativa estrategias y conocimientos de las lenguas y lenguajes que conforman el repertorio propio.",,,,,
EC,ec-lat2-2.4,2.4,"Analizar críticamente prejuicios y estereotipos lingüísticos adoptando una actitud de respeto y valoración de la diversidad como riqueza cultural, lingüística y dialectal, a partir de criterios dados.",,,,,
EC,ec-lat2-3.1,3.1,"Interpretar y comentar textos y fragmentos literarios de diversa índole de creciente complejidad, aplicando estrategias de análisis y reflexión que impliquen movilizar la propia experiencia, comprender el mundo y la condición humana y desarrollar la sensibilidad estética y el hábito lector.",,,,,
EC,ec-lat2-3.2,3.2,"Analizar y explicar los géneros, temas, tópicos y valores éticos o estéticos de obras o fragmentos literarios latinos comparándolos con obras o fragmentos literarios posteriores, desde un enfoque intertextual.",,,,,
EC,ec-lat2-3.3,3.3,"Identificar y definir palabras latinas que designan conceptos fundamentales para el estudio y comprensión de la civilización latina y cuyo aprendizaje combina conocimientos léxicos y culturales, tales como imperium, natura, civis o paterfamilias, en textos de diferentes formatos.",,,,,
EC,ec-lat2-3.4,3.4,"Crear textos individuales o colectivos con intención literaria y conciencia de estilo, en distintos soportes y con ayuda de otros lenguajes artísticos y audiovisuales, a partir de la lectura de obras o fragmentos significativos en los que se haya partido de la civilización y cultura latina como fuente de inspiración.",,,,,
EC,ec-lat2-4.1,4.1,"Explicar los procesos históricos y políticos, las instituciones, los modos de vida y las costumbres de la sociedad romana, comparándolos con los de las sociedades actuales, valorando de manera crítica las adaptaciones y cambios experimentados a la luz de la evolución de las sociedades y los derechos humanos, y favoreciendo el desarrollo de una cultura compartida y una ciudadanía comprometida con la memoria colectiva y los valores democráticos.",,,,,
EC,ec-lat2-4.2,4.2,"Debatir acerca de la importancia, evolución, asimilación o cuestionamiento de diferentes aspectos del legado romano en nuestra sociedad, utilizando estrategias retóricas y oratorias, mediando entre posturas cuando sea necesario, seleccionando y contrastando información y experiencias veraces y mostrando interés, respeto y empatía por otras opiniones y argumentaciones.",,,,,
EC,ec-lat2-4.3,4.3,"Elaborar trabajos de investigación en diferentes soportes sobre aspectos del legado de la civilización latina en el ámbito personal, religioso y sociopolítico localizando, seleccionando, contrastando y reelaborando información procedente de diferentes fuentes, calibrando su fiabilidad y pertinencia y respetando los principios de rigor y propiedad intelectual.",,,,,
EC,ec-lat2-5.1,5.1,"Identificar y explicar el legado material e inmaterial de la civilización latina como fuente de inspiración, analizando producciones culturales y artísticas posteriores.",,,,,
EC,ec-lat2-5.2,5.2,"Investigar el patrimonio histórico, arqueológico, artístico y cultural heredado de la civilización latina, actuando de forma adecuada, empática y respetuosa e interesándose por los procesos de construcción, preservación, conservación y restauración y por aquellas actitudes cívicas que aseguran su sostenibilidad.",,,,,
EC,ec-lat2-5.3,5.3,"Explorar las huellas de la romanización y el legado romano en el entorno del alumnado aplicando los conocimientos adquiridos y reflexionando sobre las implicaciones de sus distintos usos, dando ejemplos de la pervivencia de la Antigüedad clásica en su vida cotidiana y presentando sus resultados a través de diferentes soportes.",,,,,
SB,sb-lat2-a1,A.1,Concepto de lengua flexiva: flexión nominal y pronominal (sistema casual y declinaciones) y flexión verbal (el sistema de conjugaciones).,,,,,
SB,sb-lat2-a2,A.2,Funciones y sintaxis de los casos.,,,,,
SB,sb-lat2-a3,A.3,Sintaxis oracional.,,,,,
SB,sb-lat2-a4,A.4,Estructuras oracionales. La concordancia y el orden de palabras en oraciones simples y oraciones compuestas.,,,,,
SB,sb-lat2-a5,A.5,Formas nominales del verbo.,,,,,
SB,sb-lat2-a6,A.6,El análisis morfosintáctico como herramienta de traducción.,,,,,
SB,sb-lat2-a7,A.7,"Estrategias de traducción: formulación de expectativas a partir del entorno textual (título, obra…) y del propio texto (campos temáticos, familias de palabras, etc.), así como a partir del contexto; conocimiento del tema; descripción de la estructura y género; peculiaridades lingüísticas de los textos traducidos (discurso directo / indirecto, uso de tiempos verbales, modos y voces verbales, pregunta retórica, etc.); errores frecuentes de traducción y técnicas para evitarlos (comprobar si la traducción está completa, control de acuerdo a criterios dados, delimitación de construcciones sintácticas.).",,,,,
SB,sb-lat2-a8,A.8,"Herramientas de traducción: glosarios, diccionarios, atlas o correctores ortográficos en soporte analógico o digital, etc.",,,,,
SB,sb-lat2-a9,A.9,Lectura comparada de diferentes traducciones y comentario de textos bilingües a partir de terminología metalingüística.,,,,,
SB,sb-lat2-a10,A.10,Recursos estilísticos frecuentes y su relación con el contenido del texto.,,,,,
SB,sb-lat2-a11,A.11,Estrategias de retroversión de textos breves.,,,,,
SB,sb-lat2-a12,A.12,"La traducción como instrumento que favorece el razonamiento lógico, la constancia, la memoria, la resolución de problemas y la capacidad de análisis y síntesis.",,,,,
SB,sb-lat2-a13,A.13,Aceptación del error como parte del proceso de aprendizaje y actitud positiva de superación.,,,,,
SB,sb-lat2-a14,A.14,"Estrategias y herramientas, analógicas y digitales, individuales y cooperativas, para la autoevaluación, la coevaluación y la autorreparación.",,,,,
SB,sb-lat2-b1,B.1,Influencia del latín en la evolución de las lenguas de enseñanza y del resto de lenguas que conforman el repertorio lingüístico individual del alumnado.,,,,,
SB,sb-lat2-b2,B.2,Reglas fonéticas en la evolución del latín a las lenguas de enseñanza.,,,,,
SB,sb-lat2-b3,B.3,"Léxico: lexemas, sufijos y prefijos de origen latino presentes en el léxico de uso común y en el específico de las ciencias y la técnica; significado y definición de palabras de uso común en las lenguas de enseñanza a partir de sus étimos de origen latino; expresiones latinas integradas en las lenguas modernas y su empleo en diferentes tipos de textos (literarios, periodísticos, publicitarios.).",,,,,
SB,sb-lat2-b4,B.4,Interés por conocer el significado etimológico de las palabras y la importancia del uso adecuado del vocabulario como instrumento básico en la comunicación.,,,,,
SB,sb-lat2-b5,B.5,"El latín como instrumento que permite un mejor conocimiento de las lenguas de estudio y un más fácil acercamiento a otras lenguas modernas, romances y no romances.",,,,,
SB,sb-lat2-b6,B.6,Respeto por todas las lenguas y aceptación de las diferencias culturales de las gentes que las hablan.,,,,,
SB,sb-lat2-b7,B.7,"Herramientas analógicas y digitales para el aprendizaje, la comunicación y el desarrollo de proyectos con hablantes o estudiantes de latín a nivel transnacional.",,,,,
SB,sb-lat2-b8,B.8,"Expresiones y léxico específico para reflexionar y compartir la reflexión sobre la comunicación, la lengua, el aprendizaje y las herramientas de comunicación y aprendizaje (metalenguaje).",,,,,
SB,sb-lat2-c1,C.1,La lengua latina como principal vía de transmisión del mundo clásico.,,,,,
SB,sb-lat2-c2,C.2,Etapas y vías de transmisión de la literatura latina.,,,,,
SB,sb-lat2-c3,C.3,"Principales géneros de la literatura latina: origen, tipología, cronología, temas, motivos, tradición, características y principales autores.",,,,,
SB,sb-lat2-c4,C.4,Técnicas para el comentario y análisis lingüístico y literario de los textos literarios latinos.,,,,,
SB,sb-lat2-c5,C.5,"Recepción de la literatura latina: influencia en la producción cultural europea, nociones básicas de intertextualidad, imitatio, aemulatio, interpretatio, allusio.",,,,,
SB,sb-lat2-c6,C.6,Analogías y diferencias entre los géneros literarios latinos y los de la literatura actual.,,,,,
SB,sb-lat2-c7,C.7,Introducción a la crítica literaria.,,,,,
SB,sb-lat2-c8,C.8,Interés hacia la literatura como fuente de placer y de conocimiento del mundo.,,,,,
SB,sb-lat2-c9,C.9,Respeto de la propiedad intelectual y derechos de autor sobre las fuentes consultadas y contenidos utilizados: herramientas para el tratamiento de datos bibliográficos y recursos para evitar el plagio.,,,,,
SB,sb-lat2-d1,D.1,Geografía del proceso de expansión de Roma desde su nacimiento hasta la desaparición del Imperio romano.,,,,,
SB,sb-lat2-d2,D.2,"Topografía de la antigua Roma, nombre y función de los sitios centrales de la ciudad (por ejemplo, Foro Romano, basílicas, Coliseo, Circo Máximo).",,,,,
SB,sb-lat2-d3,D.3,"Historia de la antigua Roma: etapas de la historia de Roma (monarquía, república, imperio); hitos de la historia del mundo romano entre los siglos VIII a.C. y V d.C.; leyendas y principales episodios de la historia de Roma; personalidades históricas relevantes de la historia de Roma, su biografía en contexto y su importancia para Europa (Aníbal, Cicerón, César, Augusto, Séneca…).",,,,,
SB,sb-lat2-d4,D.4,Historia y organización política y social de Roma como parte esencial de la historia y cultura de la sociedad actual. La mujer en la sociedad romana y figuras femeninas destacadas.,,,,,
SB,sb-lat2-d5,D.5,"Instituciones, creencias y formas de vida de la civilización latina desde la perspectiva sociocultural actual.",,,,,
SB,sb-lat2-d6,D.6,Influencias de la cultura griega en la civilización latina: Graecia capta ferum victorem cepit.,,,,,
SB,sb-lat2-d7,D.7,La aportación de Roma a la cultura y al pensamiento de la sociedad occidental.,,,,,
SB,sb-lat2-d8,D.8,"Relación de Roma con culturas extranjeras (Grecia, el cristianismo…).",,,,,
SB,sb-lat2-d9,D.9,El mar Mediterráneo como encrucijada de culturas ayer y hoy.,,,,,
SB,sb-lat2-e1,E.1,"Conceptos de legado, herencia y patrimonio.",,,,,
SB,sb-lat2-e2,E.2,La transmisión textual latina como patrimonio cultural y fuente de conocimiento a través de diferentes culturas y épocas. Soportes de escritura: tipos y preservación.,,,,,
SB,sb-lat2-e3,E.3,La mitología clásica en manifestaciones literarias y artísticas. Figuras femeninas y estereotipos que representan.,,,,,
SB,sb-lat2-e4,E.4,"La romanización de Hispania y las huellas de su pervivencia, con especial atención al entorno asturiano.",,,,,
SB,sb-lat2-e5,E.5,"Obras públicas y urbanismo: construcción, conservación, preservación y restauración.",,,,,
SB,sb-lat2-e6,E.6,El derecho romano y su importancia en el sistema jurídico actual.,,,,,
SB,sb-lat2-e7,E.7,Las instituciones políticas romanas y su influencia y pervivencia en el sistema político actual.,,,,,
SB,sb-lat2-e8,E.8,La importancia del discurso público para la vida política y social.,,,,,
SB,sb-lat2-e9,E.9,Técnicas de debate y de exposición oral.,,,,,
SB,sb-lat2-e10,E.10,Principales obras artísticas de la Antigüedad romana.,,,,,
SB,sb-lat2-e11,E.11,"Principales sitios arqueológicos, museos o festivales relacionados con la Antigüedad clásica, con especial atención al patrimonio asturiano.",,,,,
